Experiment	RNA editing site	Location	Gene	dFI	p-value	FDR
HeLa-mir503-KD	chr9:133582267	intergenic	"EXOSC2,ABL1"	-0.104166667	0.000340899	0.034901341
HeLa-mir503-KD	chrX:54590066	intergenic	"GNL3L,ITIH6"	-0.137566138	0.000619943	0.049451271
HepG2-mir17-KD	chr1:27206932	intronic	GPN2	-0.383458647	9.28E-05	0.035188801
HepG2-mir17-KD	chr1:27206977	intronic	GPN2	-0.511904762	1.20E-05	0.011038039
HepG2-mir17-KD	chr1:33148789	UTR3	RBBP4	-0.354166667	5.93E-06	0.010114646
HepG2-mir17-KD	chr1:6708353	intronic	DNAJC11	-0.447552448	1.56E-06	0.005908465
HepG2-mir17-KD	chr10:114209254	intronic	VTI1A	-0.433333333	4.10E-05	0.024052753
HepG2-mir17-KD	chr10:81192477	exonic	ZCCHC24	0.408653846	8.04E-05	0.032386969
HepG2-mir17-KD	chr11:31452788	UTR3	DNAJC24	-0.379487179	0.000161988	0.047462342
HepG2-mir17-KD	chr11:62506990	downstream	TTC9C	-0.275862069	7.55E-05	0.032386969
HepG2-mir17-KD	chr16:87934673	intronic	CA5A	-0.387254902	6.80E-05	0.032386969
HepG2-mir17-KD	chr17:16250451	intronic	"CENPV,PIGL"	-0.473076923	1.83E-06	0.005908465
HepG2-mir17-KD	chr17:49041786	UTR3	SPAG9	-0.264285714	2.90E-05	0.018709858
HepG2-mir17-KD	chr19:21302099	UTR3	ZNF714	-0.370588235	2.84E-05	0.018709858
HepG2-mir17-KD	chr19:45168781	ncRNA_intronic	CTB-171A8.1	0.428571429	8.54E-06	0.010114646
HepG2-mir17-KD	chr2:242643825	intronic	ING5	0.354166667	9.41E-06	0.010114646
HepG2-mir17-KD	chr20:62508703	intronic	TPD52L2	0.345238095	0.000124757	0.043406784
HepG2-mir17-KD	chr3:15113842	UTR3	ZFYVE20	0.258928571	0.000172885	0.047516195
HepG2-mir17-KD	chr4:39551008	ncRNA_intronic	UGDH-AS1	0.3125	1.58E-05	0.012734655
HepG2-mir17-KD	chr5:142605886	UTR3	ARHGAP26	0.383333333	6.49E-06	0.010114646
HepG2-mir17-KD	chr6:43556258	ncRNA_exonic	RP3-337H4.8	-0.3125	0.000145322	0.046298366
HepG2-mir17-KD	chr7:44617148	downstream	TMED4	-0.371794872	0.000176914	0.047516195
HepG2-mir17-KD	chr8:42875737	UTR3	HOOK3	0.5125	4.83E-05	0.025949991
HepG2-mir17-KD	chrX:84346285	intergenic	"APOOL,SATL1"	-0.21875	0.000127944	0.043406784
HepG2-mir17-KD	chrX:84346797	downstream	SATL1	0.332352941	0.000150832	0.046298366
HepG2-mir17-KD	chrX:84346959	downstream	SATL1	0.255681818	7.63E-05	0.032386969
HeyA8-premir34a-OE	chr1:109606149	downstream	TAF13	0.162195586	0.000439064	0.03141978
HeyA8-premir34a-OE	chr1:148003749	UTR3	NBPF14	0.11515429	0.000640046	0.038398094
HeyA8-premir34a-OE	chr1:148250850	UTR3	NBPF20	0.172748394	3.31E-05	0.00716876
HeyA8-premir34a-OE	chr1:1661492	ncRNA_intronic	"RP1-283E3.4,RP1-283E3.8"	0.272727273	0.000907783	0.046924947
HeyA8-premir34a-OE	chr1:168218494	UTR3	SFT2D2	0.23531746	0.000261276	0.023598071
HeyA8-premir34a-OE	chr1:16889413	UTR3	NBPF1	0.252286175	0.000206611	0.020215936
HeyA8-premir34a-OE	chr1:179829182	intronic	TOR1AIP2	0.638795987	0.000126484	0.014623885
HeyA8-premir34a-OE	chr1:19542401	ncRNA_intronic	RP1-43E13.2	-0.302941176	0.000439625	0.03141978
HeyA8-premir34a-OE	chr1:19543973	ncRNA_intronic	RP1-43E13.2	0.438095238	0.000512929	0.035131332
HeyA8-premir34a-OE	chr1:21101903	intronic	HP1BP3	0.316842105	0.000238375	0.021768968
HeyA8-premir34a-OE	chr1:214524032	ncRNA_intronic	RP11-176D17.3	0.29047619	0.00030007	0.025166051
HeyA8-premir34a-OE	chr1:243775616	intronic	AKT3	0.516666667	7.12E-05	0.010640404
HeyA8-premir34a-OE	chr1:46162236	ncRNA_intronic	RP11-767N6.7	0.366666667	0.000644956	0.038412292
HeyA8-premir34a-OE	chr1:67874689	UTR3	SERBP1	0.314817922	9.57E-06	0.003268255
HeyA8-premir34a-OE	chr10:118657756	intronic	"ENO4,KIAA1598"	0.444816054	5.47E-05	0.008565874
HeyA8-premir34a-OE	chr10:121331856	intergenic	"RGS10,TIAL1"	-0.3375	0.000467358	0.033113897
HeyA8-premir34a-OE	chr10:33184802	intergenic	"RP11-479G22.8,ITGB1"	0.241666667	0.000539048	0.035929853
HeyA8-premir34a-OE	chr11:11929371	intronic	USP47	0.333333333	0.000274179	0.023973195
HeyA8-premir34a-OE	chr11:47190210	ncRNA_intronic	RP11-390K5.6	-0.438461538	0.000294633	0.024964829
HeyA8-premir34a-OE	chr11:58914227	intronic	FAM111A	0.447817837	0.000983748	0.049603855
HeyA8-premir34a-OE	chr11:6513941	intronic	TIMM10B	0.416666667	0.000215696	0.020613971
HeyA8-premir34a-OE	chr11:76734862	UTR3	ACER3	0.6	2.27E-05	0.005488922
HeyA8-premir34a-OE	chr11:767886	UTR3	PDDC1	0.6	0.000113081	0.013667834
HeyA8-premir34a-OE	chr11:88057417	UTR3	CTSC	0.339015152	0.000563936	0.036583519
HeyA8-premir34a-OE	chr12:101020668	intergenic	"GAS2L3,AC010209.1"	0.455555556	2.36E-06	0.000967843
HeyA8-premir34a-OE	chr12:101020681	intergenic	"GAS2L3,AC010209.1"	0.27672956	0.000523893	0.035585732
HeyA8-premir34a-OE	chr12:101020706	intergenic	"GAS2L3,AC010209.1"	0.431406385	0.000558133	0.036583519
HeyA8-premir34a-OE	chr12:124146095	UTR3	GTF2H3	0.359581882	0.000128108	0.014623885
HeyA8-premir34a-OE	chr12:125512029	UTR3	BRI3BP	0.528571429	4.04E-05	0.007915355
HeyA8-premir34a-OE	chr12:125512073	UTR3	BRI3BP	0.467032967	0.000103863	0.012919968
HeyA8-premir34a-OE	chr12:132422727	intronic	PUS1	0.272580645	0.00020158	0.020204735
HeyA8-premir34a-OE	chr12:133617038	intronic	ZNF84	0.529230769	0.000271239	0.023973195
HeyA8-premir34a-OE	chr12:27574277	ncRNA_intronic	RP11-165P7.1	0.236187521	9.94E-06	0.003268255
HeyA8-premir34a-OE	chr12:27574292	ncRNA_intronic	RP11-165P7.1	0.122486473	0.000581965	0.036793589
HeyA8-premir34a-OE	chr12:27574434	ncRNA_intronic	RP11-165P7.1	0.146662676	0.00099847	0.049735884
HeyA8-premir34a-OE	chr12:27576469	ncRNA_intronic	RP11-165P7.1	0.30137931	0.000630782	0.038279751
HeyA8-premir34a-OE	chr12:27576523	ncRNA_intronic	RP11-165P7.1	0.155860239	0.000899103	0.046924947
HeyA8-premir34a-OE	chr12:27576524	ncRNA_intronic	RP11-165P7.1	0.332539683	4.82E-07	0.000264198
HeyA8-premir34a-OE	chr12:27576536	ncRNA_intronic	RP11-165P7.1	0.290500846	3.84E-08	3.51E-05
HeyA8-premir34a-OE	chr12:27576542	ncRNA_intronic	RP11-165P7.1	0.150922874	2.61E-05	0.00612188
HeyA8-premir34a-OE	chr12:62953252	intronic	MON2	0.21703854	0.000904013	0.046924947
HeyA8-premir34a-OE	chr12:64844134	UTR3	XPOT	0.312651088	0.000485589	0.033822512
HeyA8-premir34a-OE	chr12:67710942	UTR3	CAND1	0.357142857	0.000679444	0.04017517
HeyA8-premir34a-OE	chr12:69237004	ncRNA_exonic	RP11-611O2.5	0.126180094	5.64E-10	7.72E-07
HeyA8-premir34a-OE	chr12:69237010	ncRNA_exonic	RP11-611O2.5	0.240925487	5.71E-14	4.37E-10
HeyA8-premir34a-OE	chr12:69237013	ncRNA_exonic	RP11-611O2.5	0.163816355	2.00E-10	3.64E-07
HeyA8-premir34a-OE	chr12:69237014	ncRNA_exonic	RP11-611O2.5	0.084622384	1.28E-05	0.00390023
HeyA8-premir34a-OE	chr12:69237043	UTR3	MDM2	0.119951577	3.67E-05	0.007696041
HeyA8-premir34a-OE	chr12:69237056	UTR3	MDM2	0.058782637	0.000272818	0.023973195
HeyA8-premir34a-OE	chr12:69237509	UTR3	MDM2	0.122821832	1.02E-10	2.78E-07
HeyA8-premir34a-OE	chr12:69237519	UTR3	MDM2	0.079996647	6.40E-06	0.002286925
HeyA8-premir34a-OE	chr12:69237529	UTR3	MDM2	0.10991242	6.20E-07	0.000318632
HeyA8-premir34a-OE	chr12:69237534	UTR3	MDM2	0.105388846	8.22E-05	0.011074168
HeyA8-premir34a-OE	chr12:72096125	UTR3	TMEM19	0.198989899	0.000565289	0.036583519
HeyA8-premir34a-OE	chr13:21949107	intergenic	"RNA5SP25,ZDHHC20"	0.182914112	7.80E-05	0.010860996
HeyA8-premir34a-OE	chr13:21949161	intergenic	"RNA5SP25,ZDHHC20"	0.235230934	4.65E-05	0.007991301
HeyA8-premir34a-OE	chr13:50487339	UTR3	SPRYD7	0.260233918	0.000979424	0.049603855
HeyA8-premir34a-OE	chr13:79968987	intronic	RBM26	0.45021645	0.000101363	0.012919968
HeyA8-premir34a-OE	chr14:35743675	intronic	KIAA0391	0.315789474	4.58E-05	0.007991301
HeyA8-premir34a-OE	chr14:35743689	intronic	KIAA0391	0.394927536	0.000215553	0.020613971
HeyA8-premir34a-OE	chr14:55523357	intronic	MAPK1IP1L	0.337662338	0.00063039	0.038279751
HeyA8-premir34a-OE	chr14:92587082	intronic	NDUFB1	0.38974359	0.000231245	0.021355075
HeyA8-premir34a-OE	chr15:50996417	intergenic	"RN7SL354P,SPPL2A"	-0.477732794	0.000355623	0.02837737
HeyA8-premir34a-OE	chr16:29520795	downstream	SNX29P2	0.370588235	0.000880769	0.04660299
HeyA8-premir34a-OE	chr16:29537204	intergenic	"SNX29P2,snoU13"	0.373015873	0.000311047	0.025823148
HeyA8-premir34a-OE	chr17:42878487	UTR3	GJC1	0.384615385	9.35E-05	0.012192726
HeyA8-premir34a-OE	chr17:42880112	UTR3	GJC1	0.282147743	0.000288975	0.024964829
HeyA8-premir34a-OE	chr17:42880295	UTR3	GJC1	0.201269344	0.000474947	0.033364016
HeyA8-premir34a-OE	chr17:49042277	UTR3	SPAG9	0.341812401	0.000621727	0.038279751
HeyA8-premir34a-OE	chr17:4931109	UTR3	KIF1C	-0.313186813	0.000995838	0.049735884
HeyA8-premir34a-OE	chr17:62564383	intronic	SMURF2	-0.351648352	0.00057793	0.036793589
HeyA8-premir34a-OE	chr17:62565261	intronic	SMURF2	0.509090909	7.51E-05	0.010860996
HeyA8-premir34a-OE	chr17:65334725	UTR3	PSMD12	0.348222157	3.85E-05	0.00772009
HeyA8-premir34a-OE	chr17:65334726	UTR3	PSMD12	0.390243902	1.40E-05	0.004091317
HeyA8-premir34a-OE	chr17:65335459	UTR3	PSMD12	0.394134897	1.90E-05	0.004887878
HeyA8-premir34a-OE	chr17:73885939	UTR3	TRIM65	0.367788462	7.54E-05	0.010860996
HeyA8-premir34a-OE	chr17:79844742	downstream	ALYREF	-0.303763441	0.000322697	0.02652248
HeyA8-premir34a-OE	chr18:19212313	ncRNA_intronic	RP11-13N13.2	0.471428571	0.000970646	0.049551186
HeyA8-premir34a-OE	chr19:1414278	ncRNA_intronic	CTB-25B13.13	0.337662338	0.000691754	0.040322873
HeyA8-premir34a-OE	chr19:19901935	ncRNA_intronic	"CTC-559E9.4,CTC-559E9.6"	0.516666667	4.56E-05	0.007991301
HeyA8-premir34a-OE	chr19:28301497	ncRNA_intronic	LLNLF-65H9.1	0.383333333	0.000531978	0.035838736
HeyA8-premir34a-OE	chr19:37237390	UTR3	ZNF850	0.632352941	2.14E-05	0.005336593
HeyA8-premir34a-OE	chr19:39981292	downstream	TIMM50	0.325791855	5.13E-05	0.00843613
HeyA8-premir34a-OE	chr19:39981298	downstream	TIMM50	0.2	0.000174028	0.018337622
HeyA8-premir34a-OE	chr19:42375624	UTR3	RPS19	0.29380531	2.82E-05	0.006434145
HeyA8-premir34a-OE	chr19:53121900	intronic	ZNF83	0.308333333	0.000856739	0.04602311
HeyA8-premir34a-OE	chr19:53146331	intronic	ZNF83	0.4	0.000821263	0.044999729
HeyA8-premir34a-OE	chr19:53149357	intronic	ZNF83	0.372294372	0.001008939	0.049954645
HeyA8-premir34a-OE	chr19:53381781	UTR3	ZNF320	0.259868421	0.000438223	0.03141978
HeyA8-premir34a-OE	chr19:58375663	UTR3	ZNF587	0.451388889	0.000401975	0.029503275
HeyA8-premir34a-OE	chr2:114467556	intergenic	"AC017074.2,SLC35F5"	0.20268757	4.76E-05	0.007991301
HeyA8-premir34a-OE	chr2:128950497	UTR3	UGGT1	0.186324786	0.000392165	0.029503275
HeyA8-premir34a-OE	chr2:128950515	UTR3	UGGT1	0.231761238	0.000490688	0.033890447
HeyA8-premir34a-OE	chr2:172178745	UTR3	METTL8	-0.480519481	0.000178499	0.018570713
HeyA8-premir34a-OE	chr2:187493588	intronic	ITGAV	0.593406593	4.74E-05	0.007991301
HeyA8-premir34a-OE	chr2:204167077	intergenic	"CYP20A1,ABI2"	0.433333333	0.000393953	0.029503275
HeyA8-premir34a-OE	chr2:206982338	ncRNA_intronic	AC007383.4	0.459694989	5.58E-06	0.002082907
HeyA8-premir34a-OE	chr2:32533707	UTR3	YIPF4	0.361764706	0.000120199	0.014113082
HeyA8-premir34a-OE	chr2:37327662	UTR3	EIF2AK2	0.329258127	0.000166339	0.017755046
HeyA8-premir34a-OE	chr2:75895214	intronic	"GCFC2,MRPL19"	0.728571429	2.26E-07	0.000139036
HeyA8-premir34a-OE	chr2:75895246	intronic	"GCFC2,MRPL19"	-0.475961538	4.37E-05	0.007991301
HeyA8-premir34a-OE	chr20:34217719	intronic	CPNE1	0.6125	5.52E-05	0.008565874
HeyA8-premir34a-OE	chr20:9249944	intronic	PLCB4	0.337662338	0.000790529	0.043606406
HeyA8-premir34a-OE	chr3:14986098	ncRNA_exonic	FGD5-AS1	0.153240098	2.35E-06	0.000967843
HeyA8-premir34a-OE	chr3:14986104	ncRNA_exonic	FGD5-AS1	0.358478873	1.06E-13	4.37E-10
HeyA8-premir34a-OE	chr3:14986110	ncRNA_exonic	FGD5-AS1	0.211393334	1.42E-08	1.46E-05
HeyA8-premir34a-OE	chr3:14986111	ncRNA_exonic	FGD5-AS1	0.108451813	9.01E-05	0.011943377
HeyA8-premir34a-OE	chr3:14986137	ncRNA_exonic	FGD5-AS1	0.277795139	1.69E-07	0.000126081
HeyA8-premir34a-OE	chr3:14986453	ncRNA_exonic	FGD5-AS1	0.169317382	1.21E-05	0.003838836
HeyA8-premir34a-OE	chr3:15113783	UTR3	ZFYVE20	0.328571429	0.000294014	0.024964829
HeyA8-premir34a-OE	chr3:15113893	UTR3	ZFYVE20	0.487179487	0.000105322	0.012919968
HeyA8-premir34a-OE	chr3:155660900	UTR3	GMPS	0.525	0.000197765	0.020067054
HeyA8-premir34a-OE	chr3:156259288	UTR3	SSR3	0.097943325	0.00040028	0.029503275
HeyA8-premir34a-OE	chr3:156259295	UTR3	SSR3	0.106486591	3.01E-05	0.006691578
HeyA8-premir34a-OE	chr3:156259367	UTR3	SSR3	0.106095868	2.04E-06	0.00093193
HeyA8-premir34a-OE	chr3:179089207	intronic	MFN1	0.454545455	0.000352381	0.02837737
HeyA8-premir34a-OE	chr3:179115627	ncRNA_exonic	"AC007620.3,RP11-145M9.4"	0.131944444	6.40E-05	0.009734746
HeyA8-premir34a-OE	chr3:179116046	ncRNA_intronic	AC007620.3	0.556064073	1.23E-06	0.000594587
HeyA8-premir34a-OE	chr3:179117242	UTR3	GNB4	0.2737134	4.50E-09	5.28E-06
HeyA8-premir34a-OE	chr3:185488738	intronic	IGF2BP2	0.390350877	0.000141801	0.015749443
HeyA8-premir34a-OE	chr3:188598685	UTR3	LPP	0.27002584	0.00013996	0.015749443
HeyA8-premir34a-OE	chr3:196046417	ncRNA_intronic	TM4SF19-AS1	0.215060241	0.000147252	0.016136855
HeyA8-premir34a-OE	chr4:49236619	intergenic	"AC118282.4,AC119751.5"	0.528571429	0.000748274	0.042414209
HeyA8-premir34a-OE	chr4:49236636	intergenic	"AC118282.4,AC119751.5"	0.243055556	0.000542073	0.035929853
HeyA8-premir34a-OE	chr4:57326291	UTR3	PAICS	0.185764691	0.000699719	0.040327783
HeyA8-premir34a-OE	chr5:121362875	UTR3	SRFBP1	0.232165404	0.000224652	0.021223143
HeyA8-premir34a-OE	chr5:125961047	UTR3	PHAX	0.348413843	2.88E-06	0.001128146
HeyA8-premir34a-OE	chr5:130537736	UTR3	LYRM7	0.316666667	0.000608165	0.038156548
HeyA8-premir34a-OE	chr5:132029860	ncRNA_intronic	AC004237.1	0.338383838	0.000119279	0.014113082
HeyA8-premir34a-OE	chr5:14176680	intronic	TRIO	0.270833333	0.000621179	0.038279751
HeyA8-premir34a-OE	chr5:68578276	UTR3	CCDC125	0.428571429	0.000162862	0.017612672
HeyA8-premir34a-OE	chr5:68578277	UTR3	CCDC125	0.5	0.000375537	0.029503275
HeyA8-premir34a-OE	chr6:108363371	UTR3	OSTM1	0.278032787	1.80E-05	0.004779319
HeyA8-premir34a-OE	chr6:120342260	intergenic	"MIR3144,RNU6-214P"	0.3375	0.000633416	0.038279751
HeyA8-premir34a-OE	chr6:120453812	intergenic	"MIR3144,RNU6-214P"	-0.377622378	0.00093284	0.047918804
HeyA8-premir34a-OE	chr6:148594236	ncRNA_intronic	RP11-631F7.1	0.702564103	1.68E-07	0.000126081
HeyA8-premir34a-OE	chr6:149914132	upstream	RP1-12G14.7	-0.341176471	0.000205734	0.020215936
HeyA8-premir34a-OE	chr6:160101723	UTR3	SOD2	0.123397436	0.000880094	0.04660299
HeyA8-premir34a-OE	chr6:42856029	UTR3	RPL7L1	0.160566868	1.70E-05	0.004652228
HeyA8-premir34a-OE	chr6:43583644	intronic	POLH	0.448051948	0.000778687	0.043277758
HeyA8-premir34a-OE	chr6:43585997	intronic	POLH	0.240740741	0.000575467	0.036793589
HeyA8-premir34a-OE	chr6:48026910	intronic	PTCHD4	-0.428571429	0.000228472	0.021338763
HeyA8-premir34a-OE	chr6:56922719	intergenic	"KIAA1586,ZNF451"	0.326388889	0.00040204	0.029503275
HeyA8-premir34a-OE	chr6:71299059	UTR3	C6orf57	0.244206774	0.000399094	0.029503275
HeyA8-premir34a-OE	chr7:133319111	intronic	EXOC4	0.456410256	8.07E-05	0.011058087
HeyA8-premir34a-OE	chr7:38763212	UTR3	VPS41	0.547619048	0.000333723	0.02715712
HeyA8-premir34a-OE	chr7:65622972	ncRNA_intronic	RP5-1132H15.1	0.505681818	0.000193318	0.019860996
HeyA8-premir34a-OE	chr8:118957984	intronic	EXT1	-0.347826087	0.000779305	0.043277758
HeyA8-premir34a-OE	chr8:129004580	intergenic	"MIR1205,RNU1-106P"	0.401913876	0.00038527	0.029503275
HeyA8-premir34a-OE	chr8:131121296	intronic	ASAP1	0.333333333	0.000884544	0.04660299
HeyA8-premir34a-OE	chr8:23046319	upstream	RP11-1149O23.2	0.328395062	7.73E-05	0.010860996
HeyA8-premir34a-OE	chr8:23046323	upstream	RP11-1149O23.2	0.240740741	0.000702017	0.040327783
HeyA8-premir34a-OE	chr8:30535906	UTR3	GSR	0.135312208	4.57E-05	0.007991301
HeyA8-premir34a-OE	chr8:30535980	UTR3	GSR	0.2496103	2.22E-10	3.64E-07
HeyA8-premir34a-OE	chr8:30536603	UTR3	GSR	0.171042127	3.75E-05	0.007696041
HeyA8-premir34a-OE	chr8:42389336	intronic	SLC20A2	0.278571429	0.000843086	0.04588955
HeyA8-premir34a-OE	chr8:95804605	ncRNA_intronic	KB-1608C10.2	0.22979798	0.000852295	0.04602311
HeyA8-premir34a-OE	chr8:95804615	ncRNA_intronic	KB-1608C10.2	0.359803922	2.37E-07	0.000139036
HeyA8-premir34a-OE	chr8:95804642	ncRNA_intronic	KB-1608C10.2	0.166216216	0.000774952	0.043277758
HeyA8-premir34a-OE	chr8:95804650	ncRNA_intronic	KB-1608C10.2	0.20247366	0.000706558	0.040327783
HeyA8-premir34a-OE	chr8:95804973	ncRNA_exonic	KB-1608C10.2	0.423615338	5.27E-05	0.008488868
HeyA8-premir34a-OE	chr8:95805038	ncRNA_exonic	KB-1608C10.2	0.511578947	1.44E-05	0.004091317
HeyA8-premir34a-OE	chr8:95805070	ncRNA_exonic	KB-1608C10.2	0.341614907	1.99E-07	0.000136008
HeyA8-premir34a-OE	chr9:131070608	downstream	TRUB2	-0.385620915	0.000102253	0.012919968
HeyA8-premir34a-OE	chr9:133581221	downstream	EXOSC2	0.3640553	0.000392733	0.029503275
HeyA8-premir34a-OE	chrX:54587196	UTR3	GNL3L	0.448051948	0.000690836	0.040322873
HeyA8-simir34a-OE	chr1:100489996	UTR3	SLC35A3	0.25	8.75E-05	0.021107236
HeyA8-simir34a-OE	chr1:109606149	downstream	TAF13	0.186908472	7.16E-06	0.004349781
HeyA8-simir34a-OE	chr1:109606156	downstream	TAF13	0.199268767	4.32E-08	0.00010503
HeyA8-simir34a-OE	chr1:173828262	downstream	DARS2	-0.303703704	0.000243201	0.033529328
HeyA8-simir34a-OE	chr1:174423942	intronic	RABGAP1L	-0.65034965	2.47E-06	0.002001638
HeyA8-simir34a-OE	chr1:182833416	intronic	DHX9	0.39010989	0.000353955	0.040947519
HeyA8-simir34a-OE	chr1:184762676	UTR3	FAM129A	0.207598784	0.000199637	0.03220304
HeyA8-simir34a-OE	chr1:19542250	ncRNA_intronic	RP1-43E13.2	0.43441002	0.00021708	0.03220304
HeyA8-simir34a-OE	chr1:52220868	intronic	OSBPL9	-0.409090909	0.000449595	0.046047482
HeyA8-simir34a-OE	chr1:67874689	UTR3	SERBP1	0.298711755	4.69E-05	0.016376102
HeyA8-simir34a-OE	chr1:78459961	intergenic	"FUBP1,RP11-386I14.4"	0.692307692	8.29E-08	0.000167908
HeyA8-simir34a-OE	chr1:9988311	downstream	LZIC	0.445454545	0.000267469	0.03479491
HeyA8-simir34a-OE	chr1:9988691	downstream	LZIC	0.375792812	0.000140052	0.025775852
HeyA8-simir34a-OE	chr10:30600679	UTR3	MTPAP	0.299393939	0.000359967	0.041250143
HeyA8-simir34a-OE	chr10:5730265	intronic	FAM208B	0.462121212	0.000269263	0.03479491
HeyA8-simir34a-OE	chr10:69817677	intronic	HERC4	0.471590909	0.000112712	0.02401942
HeyA8-simir34a-OE	chr10:70519035	intronic	CCAR1	0.394444444	5.29E-05	0.017379232
HeyA8-simir34a-OE	chr10:75536653	downstream	FUT11	0.592307692	3.40E-05	0.014254215
HeyA8-simir34a-OE	chr10:962739	intergenic	"LARP4B,RP11-363N22.2"	-0.387254902	0.000222693	0.03220304
HeyA8-simir34a-OE	chr10:962913	intergenic	"LARP4B,RP11-363N22.2"	0.509090909	0.000133339	0.025487689
HeyA8-simir34a-OE	chr11:126077553	intronic	RPUSD4	0.423076923	0.000505096	0.047561267
HeyA8-simir34a-OE	chr11:14305511	intronic	RRAS2	0.387254902	0.000282275	0.035348446
HeyA8-simir34a-OE	chr11:14361425	intronic	RRAS2	0.335978836	0.000426246	0.046047482
HeyA8-simir34a-OE	chr11:32625925	UTR3	EIF3M	0.483333333	0.000400158	0.045006612
HeyA8-simir34a-OE	chr11:33096294	intronic	TCP11L1	-0.35026738	0.000210534	0.03220304
HeyA8-simir34a-OE	chr11:66398548	intronic	"RBM14-RBM4,RBM4"	0.428571429	0.000219233	0.03220304
HeyA8-simir34a-OE	chr11:768383	UTR3	PDDC1	0.399159664	0.00042532	0.046047482
HeyA8-simir34a-OE	chr11:768386	UTR3	PDDC1	0.317460317	0.000509526	0.047596872
HeyA8-simir34a-OE	chr11:82797626	ncRNA_intronic	RP11-113K21.4	0.304029304	0.000467568	0.046047482
HeyA8-simir34a-OE	chr11:94149777	upstream	AP000765.1	0.260869565	0.000389665	0.044236053
HeyA8-simir34a-OE	chr12:109100559	intronic	CORO1C	-0.442982456	5.51E-05	0.017615365
HeyA8-simir34a-OE	chr12:110936052	intronic	VPS29	0.257692308	0.000493259	0.047178066
HeyA8-simir34a-OE	chr12:122215128	UTR3	TMEM120B	0.454545455	0.000214486	0.03220304
HeyA8-simir34a-OE	chr12:131287825	intronic	STX2	0.365898618	0.000450388	0.046047482
HeyA8-simir34a-OE	chr12:132420570	intronic	PUS1	0.414035088	7.72E-05	0.020389966
HeyA8-simir34a-OE	chr12:27574201	ncRNA_intronic	RP11-165P7.1	0.272746599	2.84E-05	0.01231957
HeyA8-simir34a-OE	chr12:27574536	ncRNA_intronic	RP11-165P7.1	0.5	0.000158388	0.027484761
HeyA8-simir34a-OE	chr12:27576447	ncRNA_intronic	RP11-165P7.1	0.304292929	0.000212366	0.03220304
HeyA8-simir34a-OE	chr12:27576523	ncRNA_intronic	RP11-165P7.1	0.187789988	3.52E-05	0.014263925
HeyA8-simir34a-OE	chr12:27576524	ncRNA_intronic	RP11-165P7.1	0.335826074	8.67E-05	0.021107236
HeyA8-simir34a-OE	chr12:27576536	ncRNA_intronic	RP11-165P7.1	0.179094077	0.000477647	0.046047482
HeyA8-simir34a-OE	chr12:53570649	intronic	CSAD	0.274509804	0.000455263	0.046047482
HeyA8-simir34a-OE	chr12:69237004	ncRNA_exonic	RP11-611O2.5	0.095782677	2.61E-07	0.000317622
HeyA8-simir34a-OE	chr12:69237010	ncRNA_exonic	RP11-611O2.5	0.170540307	2.68E-08	8.14E-05
HeyA8-simir34a-OE	chr12:69237013	ncRNA_exonic	RP11-611O2.5	0.148049096	2.08E-09	2.53E-05
HeyA8-simir34a-OE	chr12:69237014	ncRNA_exonic	RP11-611O2.5	0.07802364	9.08E-05	0.021203423
HeyA8-simir34a-OE	chr12:69237043	UTR3	MDM2	0.123253349	5.56E-06	0.00374946
HeyA8-simir34a-OE	chr12:69237056	UTR3	MDM2	0.074159667	4.00E-07	0.000442152
HeyA8-simir34a-OE	chr12:69237509	UTR3	MDM2	0.103711197	6.77E-09	4.11E-05
HeyA8-simir34a-OE	chr12:69237529	UTR3	MDM2	0.116402001	2.18E-07	0.00029382
HeyA8-simir34a-OE	chr12:69237534	UTR3	MDM2	0.117042889	8.57E-06	0.00495466
HeyA8-simir34a-OE	chr12:79996973	intronic	PAWR	0.32967033	0.000298425	0.036249681
HeyA8-simir34a-OE	chr12:98942824	UTR3	TMPO	0.270736113	0.000148363	0.02650236
HeyA8-simir34a-OE	chr13:21949038	intergenic	"RNA5SP25,ZDHHC20"	0.314893617	8.50E-05	0.021107236
HeyA8-simir34a-OE	chr13:25891637	intronic	NUPL1	0.244360902	0.000476197	0.046047482
HeyA8-simir34a-OE	chr14:23441476	UTR3	AJUBA	0.221232851	7.00E-05	0.01974933
HeyA8-simir34a-OE	chr14:35743453	UTR3	KIAA0391	0.277777778	0.000473136	0.046047482
HeyA8-simir34a-OE	chr14:35743739	intronic	KIAA0391	0.537142857	4.85E-05	0.016376102
HeyA8-simir34a-OE	chr14:35746361	intronic	KIAA0391	0.352941176	0.000230951	0.033004323
HeyA8-simir34a-OE	chr15:42831420	intergenic	"SNAP23,LRRC57"	0.323076923	0.000415742	0.045909243
HeyA8-simir34a-OE	chr16:81064489	ncRNA_exonic	RP11-303E16.2	-0.284438776	0.000287702	0.035660326
HeyA8-simir34a-OE	chr17:49041897	UTR3	SPAG9	-0.536363636	7.38E-05	0.019926175
HeyA8-simir34a-OE	chr17:49042216	UTR3	SPAG9	0.366666667	0.000241235	0.033529328
HeyA8-simir34a-OE	chr17:65334753	UTR3	PSMD12	0.375	6.69E-05	0.01974933
HeyA8-simir34a-OE	chr17:65334885	UTR3	PSMD12	0.24970964	8.86E-05	0.021107236
